Latitude (decimal degrees):	50.763
Longitude (decimal degrees):	6.074
Elevation (m):	190
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	20.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200103:0510,0.0,0.0,0.0,6.07,5.72,0.0
20200103:0610,0.0,0.0,0.0,5.86,5.79,0.0
20200103:0710,0.0,0.0,0.0,6.7,6.14,0.0
20200103:0810,95.0,14.94,3.23,6.82,6.21,0.0
20200103:0910,57.2,11.68,9.41,7.09,6.41,0.0
20200103:1010,2102.8,135.13,13.83,7.36,6.48,0.0
20200103:1110,429.6,38.64,16.13,7.69,6.41,0.0
20200103:1210,203.8,23.36,16.09,8.11,6.28,0.0
20200103:1310,469.8,41.33,13.72,8.33,6.41,0.0
20200103:1410,455.8,40.43,9.24,8.36,6.97,0.0
20200103:1510,8.0,6.64,3.01,8.03,6.9,0.0
20200103:1610,0.0,0.0,0.0,7.87,6.76,0.0
20200103:1710,0.0,0.0,0.0,7.69,6.28,0.0
20200103:1810,0.0,0.0,0.0,6.95,5.03,0.0
20200103:1910,0.0,0.0,0.0,6.5,4.28,0.0
20200103:2010,0.0,0.0,0.0,5.56,4.34,0.0
20200103:2110,0.0,0.0,0.0,4.83,4.0,0.0
20200103:2210,0.0,0.0,0.0,4.03,3.1,0.0
20200103:2310,0.0,0.0,0.0,3.77,2.48,0.0
20200104:0010,0.0,0.0,0.0,3.35,2.9,0.0
20200104:0110,0.0,0.0,0.0,2.94,3.17,0.0
20200104:0210,0.0,0.0,0.0,2.48,3.24,0.0
20200104:0310,0.0,0.0,0.0,1.96,3.45,0.0
20200104:0410,0.0,0.0,0.0,1.63,3.79,0.0
20200104:0510,0.0,0.0,0.0,1.75,4.0,0.0
20200104:0610,0.0,0.0,0.0,2.17,4.21,0.0
20200104:0710,0.0,0.0,0.0,2.41,4.28,0.0
20200104:0810,108.0,15.77,3.26,2.54,4.69,0.0
20200104:0910,356.6,33.24,9.46,2.62,4.55,0.0
20200104:1010,8772.0,494.5,13.9,2.89,4.83,0.0
20200104:1110,1756.0,114.56,16.22,3.37,5.24,0.0
20200104:1210,821.2,62.0,16.2,3.8,5.17,0.0
20200104:1310,423.0,37.74,13.84,4.28,5.1,0.0
20200104:1410,339.6,32.35,9.37,4.4,5.03,0.0
20200104:1510,0.0,4.98,3.15,4.52,4.9,0.0
20200104:1610,0.0,0.0,0.0,4.52,4.83,0.0
20200104:1710,0.0,0.0,0.0,4.57,4.69,0.0
20200104:1810,0.0,0.0,0.0,4.55,4.41,0.0
20200104:1910,0.0,0.0,0.0,4.44,4.0,0.0
20200104:2010,0.0,0.0,0.0,4.42,3.72,0.0
20200104:2110,0.0,0.0,0.0,4.48,3.38,0.0
20200104:2210,0.0,0.0,0.0,4.51,3.24,0.0
20200104:2310,0.0,0.0,0.0,4.49,3.17,0.0
20200105:0010,0.0,0.0,0.0,4.45,3.1,0.0
20200105:0110,0.0,0.0,0.0,4.42,3.03,0.0
20200105:0210,0.0,0.0,0.0,4.35,2.9,0.0
20200105:0310,0.0,0.0,0.0,4.28,2.76,0.0
20200105:0410,0.0,0.0,0.0,4.15,2.55,0.0
20200105:0510,0.0,0.0,0.0,4.06,2.34,0.0
20200105:0610,0.0,0.0,0.0,3.95,2.28,0.0
20200105:0710,0.0,0.0,0.0,3.71,2.28,0.0
20200105:0810,23.4,8.3,3.31,3.47,2.41,0.0
20200105:0910,794.6,60.24,9.52,3.77,2.55,0.0
20200105:1010,623.0,50.32,13.98,4.59,2.97,0.0
20200105:1110,875.2,65.59,16.32,5.2,3.31,0.0
20200105:1210,965.8,70.98,16.32,5.35,3.17,0.0
20200105:1310,843.4,63.79,13.97,5.53,3.24,0.0
20200105:1410,244.6,26.06,9.51,5.67,3.03,0.0
20200105:1510,0.0,4.98,3.29,5.45,2.69,0.0
20200105:1610,0.0,0.0,0.0,4.62,2.48,0.0
20200105:1710,0.0,0.0,0.0,4.14,2.48,0.0
20200105:1810,0.0,0.0,0.0,3.97,2.55,0.0
20200105:1910,0.0,0.0,0.0,4.27,2.21,0.0
20200105:2010,0.0,0.0,0.0,3.87,2.34,0.0
20200105:2110,0.0,0.0,0.0,3.75,2.48,0.0
20200105:2210,0.0,0.0,0.0,3.81,2.48,0.0
20200105:2310,0.0,0.0,0.0,3.85,2.55,0.0
20200106:0010,0.0,0.0,0.0,3.8,2.55,0.0
20200106:0110,0.0,0.0,0.0,3.59,2.55,0.0
20200106:0210,0.0,0.0,0.0,3.39,2.55,0.0
20200106:0310,0.0,0.0,0.0,3.07,2.55,0.0
20200106:0410,0.0,0.0,0.0,2.93,2.48,0.0
20200106:0510,0.0,0.0,0.0,2.79,2.48,0.0
20200106:0610,0.0,0.0,0.0,2.65,2.55,0.0
20200106:0710,0.0,0.0,0.0,2.69,2.48,0.0
20200106:0810,108.2,15.77,3.36,2.25,2.69,0.0
20200106:0910,8514.8,484.57,9.59,2.31,2.83,0.0
20200106:1010,11489.2,660.95,14.07,3.47,2.9,0.0
20200106:1110,12615.2,733.42,16.43,4.78,3.03,0.0
20200106:1210,13074.6,765.46,16.44,6.02,3.17,0.0
20200106:1310,11564.2,674.95,14.11,6.84,3.17,0.0
20200106:1410,8840.0,513.54,9.65,7.01,3.45,0.0
20200106:1510,56.8,11.62,3.44,6.31,3.93,0.0
20200106:1610,0.0,0.0,0.0,5.17,4.41,0.0
20200106:1710,0.0,0.0,0.0,4.55,4.83,0.0
20200106:1810,0.0,0.0,0.0,4.11,5.24,0.0
20200106:1910,0.0,0.0,0.0,3.72,5.59,0.0
20200106:2010,0.0,0.0,0.0,3.69,5.45,0.0
20200106:2110,0.0,0.0,0.0,3.46,5.38,0.0
20200106:2210,0.0,0.0,0.0,3.17,5.38,0.0
20200106:2310,0.0,0.0,0.0,3.2,4.9,0.0
20200107:0010,0.0,0.0,0.0,3.54,4.48,0.0
20200107:0110,0.0,0.0,0.0,4.04,4.62,0.0
20200107:0210,0.0,0.0,0.0,4.55,4.9,0.0
20200107:0310,0.0,0.0,0.0,5.09,4.69,0.0
20200107:0410,0.0,0.0,0.0,5.55,4.41,0.0
20200107:0510,0.0,0.0,0.0,5.84,4.21,0.0
20200107:0610,0.0,0.0,0.0,5.8,3.93,0.0
20200107:0710,0.0,0.0,0.0,5.02,3.17,0.0
20200107:0810,96.0,14.94,3.42,5.05,3.17,0.0
20200107:0910,6011.0,348.18,9.67,5.18,3.1,0.0
20200107:1010,5034.4,294.69,14.16,5.73,3.24,0.0
20200107:1110,5516.6,321.32,16.54,6.15,4.07,0.0
20200107:1210,2671.0,166.41,16.57,6.69,4.83,0.0
20200107:1310,2621.0,163.62,14.25,7.07,5.03,0.0
20200107:1410,6394.6,371.13,9.81,7.01,4.76,0.0
20200107:1510,75.4,13.28,3.6,6.72,3.79,0.0
20200107:1610,0.0,0.0,0.0,5.88,3.72,0.0
20200107:1710,0.0,0.0,0.0,5.17,4.28,0.0
20200107:1810,0.0,0.0,0.0,4.89,4.69,0.0
20200107:1910,0.0,0.0,0.0,4.57,4.83,0.0
20200107:2010,0.0,0.0,0.0,4.66,5.17,0.0
20200107:2110,0.0,0.0,0.0,4.8,5.59,0.0
20200107:2210,0.0,0.0,0.0,5.13,5.79,0.0
20200107:2310,0.0,0.0,0.0,5.49,5.79,0.0
20200108:0010,0.0,0.0,0.0,5.73,5.72,0.0
20200108:0110,0.0,0.0,0.0,6.27,5.79,0.0
20200108:0210,0.0,0.0,0.0,7.0,5.72,0.0
20200108:0310,0.0,0.0,0.0,7.78,5.66,0.0
20200108:0410,0.0,0.0,0.0,8.34,5.52,0.0
20200108:0510,0.0,0.0,0.0,8.64,5.45,0.0
20200108:0610,0.0,0.0,0.0,8.85,5.31,0.0
20200108:0710,0.0,0.0,0.0,8.31,5.17,0.0
20200108:0810,22.2,8.3,3.48,8.56,4.9,0.0
20200108:0910,4166.2,249.41,9.75,8.96,4.9,0.0
20200108:1010,131.0,17.97,14.27,9.25,4.76,0.0
20200108:1110,1174.8,84.36,16.66,9.56,4.76,0.0
20200108:1210,3643.4,222.15,16.71,9.84,4.76,0.0
20200108:1310,410.4,37.74,14.4,9.98,4.62,0.0
20200108:1410,277.2,28.75,9.96,10.05,4.34,0.0
20200108:1510,0.0,3.32,3.76,10.01,4.14,0.0
20200108:1610,0.0,0.0,0.0,9.9,3.86,0.0
20200108:1710,0.0,0.0,0.0,9.86,3.66,0.0
20200108:1810,0.0,0.0,0.0,9.79,3.45,0.0
20200108:1910,0.0,0.0,0.0,9.49,3.38,0.0
20200108:2010,0.0,0.0,0.0,9.44,3.38,0.0
20200108:2110,0.0,0.0,0.0,9.39,3.31,0.0
20200108:2210,0.0,0.0,0.0,9.34,3.24,0.0
20200108:2310,0.0,0.0,0.0,9.32,3.45,0.0
20200109:0010,0.0,0.0,0.0,9.28,3.79,0.0
20200109:0110,0.0,0.0,0.0,9.25,4.14,0.0
20200109:0210,0.0,0.0,0.0,9.29,4.69,0.0
20200109:0310,0.0,0.0,0.0,9.48,5.24,0.0
20200109:0410,0.0,0.0,0.0,9.7,5.72,0.0
20200109:0510,0.0,0.0,0.0,9.86,5.86,0.0
20200109:0610,0.0,0.0,0.0,9.96,6.0,0.0
20200109:0710,0.0,0.0,0.0,10.09,6.28,0.0
20200109:0810,37.8,9.96,3.55,10.25,6.48,0.0
20200109:0910,1728.0,115.44,9.84,10.42,6.62,0.0
20200109:1010,2900.0,181.04,14.38,10.65,6.76,0.0
20200109:1110,1138.0,82.52,16.79,10.83,6.83,0.0
20200109:1210,882.2,67.39,16.86,10.88,6.83,0.0
20200109:1310,959.6,71.91,14.56,10.77,6.69,0.0
20200109:1410,2976.6,185.23,10.13,10.59,6.41,0.0
20200109:1510,83.2,14.11,3.92,10.42,6.14,0.0
20200109:1610,0.0,0.0,0.0,10.17,5.93,0.0
20200109:1710,0.0,0.0,0.0,10.04,5.93,0.0
20200109:1810,0.0,0.0,0.0,9.91,5.93,0.0
20200109:1910,0.0,0.0,0.0,10.12,5.66,0.0
20200109:2010,0.0,0.0,0.0,9.92,5.66,0.0
20200109:2110,0.0,0.0,0.0,9.73,5.66,0.0
20200109:2210,0.0,0.0,0.0,9.56,5.59,0.0
20200109:2310,0.0,0.0,0.0,9.25,5.52,0.0
20200110:0010,0.0,0.0,0.0,9.21,5.45,0.0
20200110:0110,0.0,0.0,0.0,8.95,5.31,0.0
20200110:0210,0.0,0.0,0.0,8.68,5.38,0.0
20200110:0310,0.0,0.0,0.0,8.23,5.03,0.0
20200110:0410,0.0,0.0,0.0,7.64,4.97,0.0
20200110:0510,0.0,0.0,0.0,7.22,4.62,0.0
20200110:0610,0.0,0.0,0.0,7.51,4.34,0.0
20200110:0710,0.0,0.0,0.0,7.52,3.72,0.0
20200110:0810,0.0,2.49,3.63,7.37,3.45,0.0
20200110:0910,5424.0,318.18,9.94,7.21,3.38,0.0
20200110:1010,1565.8,105.66,14.49,7.02,3.38,0.0
20200110:1110,838.8,63.79,16.93,6.71,3.66,0.0
20200110:1210,690.4,54.81,17.01,6.58,3.72,0.0
20200110:1310,432.2,38.64,14.72,6.38,4.21,0.0
20200110:1410,218.2,24.26,10.3,6.47,4.41,0.0
20200110:1510,78.0,13.48,4.09,6.22,4.41,0.0
20200110:1610,0.0,0.0,0.0,5.54,3.93,0.0
20200110:1710,0.0,0.0,0.0,5.19,3.24,0.0
20200110:1810,0.0,0.0,0.0,4.73,2.69,0.0
20200110:1910,0.0,0.0,0.0,4.15,2.69,0.0
20200110:2010,0.0,0.0,0.0,3.91,2.21,0.0
20200110:2110,0.0,0.0,0.0,3.56,1.86,0.0
20200110:2210,0.0,0.0,0.0,3.49,1.52,0.0
20200110:2310,0.0,0.0,0.0,3.64,1.72,0.0
20200111:0010,0.0,0.0,0.0,3.42,2.0,0.0
20200111:0110,0.0,0.0,0.0,3.49,2.0,0.0
20200111:0210,0.0,0.0,0.0,3.21,2.28,0.0
20200111:0310,0.0,0.0,0.0,3.07,2.34,0.0
20200111:0410,0.0,0.0,0.0,2.84,2.41,0.0
20200111:0510,0.0,0.0,0.0,2.5,2.55,0.0
20200111:0610,0.0,0.0,0.0,2.55,2.62,0.0
20200111:0710,0.0,0.0,0.0,2.16,2.9,0.0
20200111:0810,58.4,11.62,3.72,2.18,3.31,0.0
20200111:0910,3814.4,224.68,10.04,2.79,3.86,0.0
20200111:1010,882.0,65.59,14.62,3.76,4.21,0.0
20200111:1110,1032.2,74.58,17.07,4.54,4.41,0.0
20200111:1210,5292.0,307.0,17.17,5.21,5.24,0.0
20200111:1310,11042.6,631.05,14.89,5.54,5.1,0.0
20200111:1410,6652.4,383.17,10.47,5.63,4.76,0.0
20200111:1510,1648.2,110.34,4.27,5.25,4.28,0.0
20200111:1610,0.0,0.0,0.0,4.63,4.28,0.0
20200111:1710,0.0,0.0,0.0,4.33,4.69,0.0
20200111:1810,0.0,0.0,0.0,4.08,4.9,0.0
20200111:1910,0.0,0.0,0.0,3.54,4.9,0.0
20200111:2010,0.0,0.0,0.0,3.21,4.97,0.0
20200111:2110,0.0,0.0,0.0,2.97,5.03,0.0
20200111:2210,0.0,0.0,0.0,2.79,5.03,0.0
20200111:2310,0.0,0.0,0.0,2.59,5.17,0.0
20200112:0010,0.0,0.0,0.0,2.44,5.24,0.0
20200112:0110,0.0,0.0,0.0,2.27,5.24,0.0
20200112:0210,0.0,0.0,0.0,2.14,5.24,0.0
20200112:0310,0.0,0.0,0.0,2.08,5.31,0.0
20200112:0410,0.0,0.0,0.0,2.05,5.45,0.0
20200112:0510,0.0,0.0,0.0,2.09,5.66,0.0
20200112:0610,0.0,0.0,0.0,2.14,5.72,0.0
20200112:0710,0.0,0.0,0.0,2.41,6.07,0.0
20200112:0810,140.0,18.26,3.81,2.7,6.28,0.0
20200112:0910,6092.0,346.43,10.15,3.39,6.48,0.0
20200112:1010,5734.6,329.01,14.75,4.47,5.93,0.0
20200112:1110,1245.4,86.96,17.22,5.44,6.62,0.0
20200112:1210,2234.6,142.04,17.33,5.92,6.34,0.0
20200112:1310,3048.0,185.88,15.07,6.04,6.28,0.0
20200112:1410,377.4,35.04,10.65,6.22,6.69,0.0
20200112:1510,239.8,25.79,4.45,6.47,6.41,0.0
20200112:1610,0.0,0.0,0.0,6.71,6.34,0.0
20200112:1710,0.0,0.0,0.0,7.0,6.21,0.0
20200112:1810,0.0,0.0,0.0,7.14,6.0,0.0
20200112:1910,0.0,0.0,0.0,6.57,5.52,0.0
20200112:2010,0.0,0.0,0.0,6.53,5.24,0.0
20200112:2110,0.0,0.0,0.0,6.29,4.83,0.0
20200112:2210,0.0,0.0,0.0,6.36,4.55,0.0
20200112:2310,0.0,0.0,0.0,6.06,4.28,0.0
20200113:0010,0.0,0.0,0.0,5.92,4.14,0.0
20200113:0110,0.0,0.0,0.0,5.61,3.93,0.0
20200113:0210,0.0,0.0,0.0,5.5,3.79,0.0
20200113:0310,0.0,0.0,0.0,5.41,3.66,0.0
20200113:0410,0.0,0.0,0.0,5.43,3.59,0.0
20200113:0510,0.0,0.0,0.0,5.53,3.66,0.0
20200113:0610,0.0,0.0,0.0,5.56,3.52,0.0
20200113:0710,0.0,0.0,0.0,5.59,3.52,0.0
20200113:0810,148.4,19.09,3.91,5.63,3.31,0.0
20200113:0910,1928.6,124.84,10.27,5.86,3.52,0.0
20200113:1010,1118.8,80.07,14.89,6.23,3.24,0.0
20200113:1110,1375.2,95.06,17.38,6.79,3.86,0.0
20200113:1210,6194.4,360.29,17.51,7.2,4.41,0.0
20200113:1310,7969.4,460.07,15.25,7.04,4.21,0.0
20200113:1410,1949.6,126.63,10.84,7.04,4.48,0.0
20200113:1510,1235.4,87.2,4.64,6.77,4.41,0.0
20200113:1610,0.0,0.0,0.0,6.67,5.1,0.0
20200113:1710,0.0,0.0,0.0,6.8,5.79,0.0
20200113:1810,0.0,0.0,0.0,6.96,5.79,0.0
20200113:1910,0.0,0.0,0.0,6.98,6.48,0.0
20200113:2010,0.0,0.0,0.0,7.55,6.76,0.0
20200113:2110,0.0,0.0,0.0,8.24,7.24,0.0
20200113:2210,0.0,0.0,0.0,8.63,7.59,0.0
20200113:2310,0.0,0.0,0.0,8.42,7.72,0.0
20200114:0010,0.0,0.0,0.0,8.11,7.66,0.0
20200114:0110,0.0,0.0,0.0,8.04,7.79,0.0
20200114:0210,0.0,0.0,0.0,8.11,7.86,0.0
20200114:0310,0.0,0.0,0.0,8.15,8.07,0.0
20200114:0410,0.0,0.0,0.0,8.23,8.55,0.0
20200114:0510,0.0,0.0,0.0,8.07,8.62,0.0
20200114:0610,0.0,0.0,0.0,8.0,8.55,0.0
20200114:0710,0.0,0.0,0.0,8.54,8.41,0.0
20200114:0810,104.0,15.77,4.01,8.57,8.62,0.0
20200114:0910,1487.6,101.17,10.39,8.68,8.62,0.0
20200114:1010,1107.2,80.03,15.03,8.89,8.55,0.0
20200114:1110,1818.6,120.57,17.54,8.97,8.48,0.0
20200114:1210,2548.0,160.94,17.69,9.16,8.55,0.0
20200114:1310,5261.6,308.42,15.44,9.13,8.62,0.0
20200114:1410,1729.8,115.06,11.03,9.13,8.62,0.0
20200114:1510,850.2,65.04,4.84,9.2,8.69,0.0
20200114:1610,0.0,0.0,0.0,8.67,8.69,0.0
20200114:1710,0.0,0.0,0.0,8.79,8.97,0.0
20200114:1810,0.0,0.0,0.0,8.77,8.9,0.0
20200114:1910,0.0,0.0,0.0,9.3,8.83,0.0
20200114:2010,0.0,0.0,0.0,9.47,8.69,0.0
20200114:2110,0.0,0.0,0.0,9.92,8.76,0.0
20200114:2210,0.0,0.0,0.0,10.24,8.69,0.0
20200114:2310,0.0,0.0,0.0,10.38,8.41,0.0
20200115:0010,0.0,0.0,0.0,9.94,7.93,0.0
20200115:0110,0.0,0.0,0.0,9.68,7.86,0.0
20200115:0210,0.0,0.0,0.0,9.46,7.72,0.0
20200115:0310,0.0,0.0,0.0,9.37,7.52,0.0
20200115:0410,0.0,0.0,0.0,9.52,7.38,0.0
20200115:0510,0.0,0.0,0.0,9.19,7.24,0.0
20200115:0610,0.0,0.0,0.0,8.71,7.17,0.0
20200115:0710,0.0,0.0,0.0,8.46,7.24,0.0
20200115:0810,146.2,19.09,4.13,8.27,7.45,0.0
20200115:0910,1183.2,83.95,10.53,8.62,7.66,0.0
20200115:1010,12149.0,699.5,15.19,9.22,7.66,0.0
20200115:1110,11826.8,684.78,17.72,9.64,6.83,0.0
20200115:1210,11146.4,645.92,17.87,10.3,7.1,0.0
20200115:1310,10303.6,598.11,15.64,10.86,7.03,0.0
20200115:1410,2107.4,137.21,11.23,11.05,8.21,0.0
20200115:1510,1090.2,79.86,5.03,10.98,8.14,0.0
20200115:1610,0.0,0.0,0.0,10.78,7.93,0.0
20200115:1710,0.0,0.0,0.0,10.42,7.52,0.0
20200115:1810,0.0,0.0,0.0,9.98,6.83,0.0
20200115:1910,0.0,0.0,0.0,9.29,5.86,0.0
20200115:2010,0.0,0.0,0.0,8.76,5.59,0.0
20200115:2110,0.0,0.0,0.0,8.05,4.21,0.0
20200115:2210,0.0,0.0,0.0,7.27,3.45,0.0
20200115:2310,0.0,0.0,0.0,6.58,3.03,0.0
20200116:0010,0.0,0.0,0.0,6.08,2.76,0.0
20200116:0110,0.0,0.0,0.0,5.62,2.69,0.0
20200116:0210,0.0,0.0,0.0,5.37,2.55,0.0
20200116:0310,0.0,0.0,0.0,4.99,2.55,0.0
20200116:0410,0.0,0.0,0.0,4.8,2.55,0.0
20200116:0510,0.0,0.0,0.0,4.71,2.62,0.0
20200116:0610,0.0,0.0,0.0,4.51,2.76,0.0
20200116:0710,0.0,0.0,0.0,4.39,2.97,0.0
20200116:0810,3698.4,223.34,4.25,4.86,3.17,0.0
20200116:0910,9262.6,535.42,10.67,6.13,3.31,0.0
20200116:1010,11628.8,677.89,15.34,7.49,3.72,0.0
20200116:1110,12851.8,748.59,17.89,8.38,5.17,0.0
20200116:1210,12648.2,737.56,18.06,8.92,5.31,0.0
20200116:1310,11631.0,679.94,15.84,9.39,4.69,0.0
20200116:1410,8722.8,510.61,11.44,9.61,4.14,0.0
20200116:1510,4512.4,274.72,5.24,9.33,4.14,0.0
20200116:1610,0.0,0.0,0.0,8.46,4.34,0.0
20200116:1710,0.0,0.0,0.0,7.95,4.76,0.0
20200116:1810,0.0,0.0,0.0,7.82,5.1,0.0
20200116:1910,0.0,0.0,0.0,8.23,5.59,0.0
20200116:2010,0.0,0.0,0.0,8.42,6.0,0.0
20200116:2110,0.0,0.0,0.0,8.51,6.14,0.0
20200116:2210,0.0,0.0,0.0,8.6,6.28,0.0
20200116:2310,0.0,0.0,0.0,8.51,6.21,0.0
20200117:0010,0.0,0.0,0.0,8.15,5.93,0.0
20200117:0110,0.0,0.0,0.0,7.65,5.66,0.0
20200117:0210,0.0,0.0,0.0,7.14,5.38,0.0
20200117:0310,0.0,0.0,0.0,6.73,5.17,0.0
20200117:0410,0.0,0.0,0.0,6.5,4.97,0.0
20200117:0510,0.0,0.0,0.0,6.26,4.83,0.0
20200117:0610,0.0,0.0,0.0,6.06,4.9,0.0
20200117:0710,0.0,0.0,0.0,6.62,5.31,0.0
20200117:0810,375.6,34.98,4.37,7.19,5.38,0.0
20200117:0910,879.6,66.29,10.81,8.0,5.17,0.0
20200117:1010,876.4,66.49,15.51,8.59,4.55,0.0
20200117:1110,1177.4,84.46,18.08,9.09,4.97,0.0
20200117:1210,552.2,46.72,18.26,9.15,4.9,0.0
20200117:1310,386.0,35.94,16.04,8.71,5.38,0.0
20200117:1410,641.6,52.11,11.65,8.23,5.38,0.0
20200117:1510,47.2,10.78,5.44,7.82,5.31,0.0
20200117:1610,0.0,0.0,0.0,7.41,4.83,0.0
20200117:1710,0.0,0.0,0.0,6.72,4.97,0.0
20200117:1810,0.0,0.0,0.0,6.02,5.38,0.0
20200117:1910,0.0,0.0,0.0,5.44,5.45,0.0
20200117:2010,0.0,0.0,0.0,4.68,5.17,0.0
20200117:2110,0.0,0.0,0.0,4.11,4.62,0.0
20200117:2210,0.0,0.0,0.0,3.8,4.34,0.0
20200117:2310,0.0,0.0,0.0,3.38,4.28,0.0
20200118:0010,0.0,0.0,0.0,3.39,4.48,0.0
20200118:0110,0.0,0.0,0.0,3.38,4.55,0.0
20200118:0210,0.0,0.0,0.0,3.42,4.55,0.0
20200118:0310,0.0,0.0,0.0,3.39,4.62,0.0
20200118:0410,0.0,0.0,0.0,3.29,4.55,0.0
20200118:0510,0.0,0.0,0.0,3.25,4.62,0.0
20200118:0610,0.0,0.0,0.0,3.02,4.28,0.0
20200118:0710,0.0,0.0,0.0,2.55,4.28,0.0
20200118:0810,265.4,27.15,4.51,2.68,4.41,0.0
20200118:0910,328.6,31.45,10.96,2.95,4.69,0.0
20200118:1010,885.2,65.59,15.68,3.16,5.31,0.0
20200118:1110,1444.4,97.61,18.27,3.49,5.66,0.0
20200118:1210,494.8,42.23,18.47,3.88,5.03,0.0
20200118:1310,1218.6,85.12,16.26,4.29,4.9,0.0
20200118:1410,7480.4,427.04,11.86,4.36,4.69,0.0
20200118:1510,4230.6,252.47,5.65,3.82,3.79,0.0
20200118:1610,0.0,0.0,0.0,3.12,3.38,0.0
20200118:1710,0.0,0.0,0.0,2.51,3.17,0.0
20200118:1810,0.0,0.0,0.0,2.02,2.97,0.0
20200118:1910,0.0,0.0,0.0,1.55,2.83,0.0
20200118:2010,0.0,0.0,0.0,1.34,2.69,0.0
20200118:2110,0.0,0.0,0.0,1.0,2.55,0.0
20200118:2210,0.0,0.0,0.0,0.8,2.34,0.0
20200118:2310,0.0,0.0,0.0,0.49,2.34,0.0
20200119:0010,0.0,0.0,0.0,0.35,2.34,0.0
20200119:0110,0.0,0.0,0.0,0.41,2.34,0.0
20200119:0210,0.0,0.0,0.0,0.38,2.21,0.0
20200119:0310,0.0,0.0,0.0,0.55,2.28,0.0
20200119:0410,0.0,0.0,0.0,0.15,2.28,0.0
20200119:0510,0.0,0.0,0.0,0.23,2.14,0.0
